0.746479,0.985915,0.992958,0.992958,0.802817,0.915493,0.161972,0.014085,0.007042,0.992958,0.908451,0.105634,0.007042,0.014085,0.992958,0.894366,0.119718,0.014085,0.204225,0.922535,0.788732,0.943662,0.978873,0.908451,0.401408
0.612335,0.682819,0.779736,0.757709,0.647577,0.440529,0.647577,0.872247,0.792952,0.559471,0.466960,0.665198,0.916300,0.762115,0.528634,0.497797,0.682819,0.876652,0.731278,0.550661,0.643172,0.735683,0.797357,0.762115,0.599119
0.755656,0.981900,0.841629,0.357466,0.140271,0.493213,0.049774,0.565611,0.221719,0.180995,0.004525,0.095023,0.633484,0.280543,0.090498,0.022624,0.760181,0.343891,0.108597,0.013575,0.950226,0.995475,0.995475,0.995475,0.981900
0.672986,0.924171,0.985782,0.905213,0.672986,0.085308,0.132701,0.350711,0.611374,0.611374,0.388626,0.777251,0.933649,0.796209,0.388626,0.014218,0.037915,0.085308,0.545024,0.848341,0.649289,0.886256,0.985782,0.725118,0.312796
0.684492,0.288770,0.401070,0.235294,0.032086,0.802139,0.251337,0.566845,0.411765,0.219251,0.962567,0.663102,0.941176,0.700535,0.550802,0.342246,0.374332,0.812834,0.390374,0.235294,0.005348,0.090909,0.839572,0.139037,0.005348
0.677215,0.943038,0.962025,0.962025,0.879747,0.797468,0.348101,0.044304,0.006329,0.018987,0.563291,0.892405,0.778481,0.518987,0.170886,0.018987,0.082278,0.335443,0.474684,0.411392,0.822785,0.974684,0.879747,0.563291,0.253165
0.048611,0.430556,0.562500,0.569444,0.312500,0.423611,0.576389,0.416667,0.104167,0.006944,0.847222,0.909722,0.756944,0.687500,0.486111,0.888889,0.423611,0.166667,0.305556,0.916667,0.631944,0.986111,0.993056,0.965278,0.861111
0.990909,0.990909,0.990909,0.990909,0.990909,0.009091,0.009091,0.018182,0.245455,0.890909,0.009091,0.018182,0.027273,0.763636,0.254545,0.009091,0.018182,0.163636,0.772727,0.136364,0.018182,0.027273,0.272727,0.663636,0.109091
0.813953,0.982558,0.988372,0.761628,0.511628,0.755814,0.418605,0.470930,0.593023,0.819767,0.494186,0.947674,0.953488,0.773256,0.290698,0.866279,0.279070,0.412791,0.424419,0.406977,0.750000,0.982558,0.953488,0.622093,0.406977
0.526316,0.991228,0.991228,0.991228,0.912281,0.938596,0.464912,0.614035,0.956140,0.842105,0.473684,0.482456,0.491228,0.649123,0.403509,0.008772,0.078947,0.298246,0.552632,0.263158,0.078947,0.114035,0.368421,0.464912,0.140351
